 written on 15Jul2019 at 12:44:12 
           3
        1331
    8    4    4    4    4    4    4    4    4    4    8    4    2    2    2
    2    2    2    2    2    2    4    4    2    2    2    2    2    2    2
    2    2    4    4    2    2    2    2    2    2    2    2    2    4    4
    2    2    2    2    2    2    2    2    2    4    4    2    2    2    2
    2    2    2    2    2    4    4    2    2    2    2    2    2    2    2
    2    4    4    2    2    2    2    2    2    2    2    2    4    4    2
    2    2    2    2    2    2    2    2    4    4    2    2    2    2    2
    2    2    2    2    4    8    4    4    4    4    4    4    4    4    4
    8    4    2    2    2    2    2    2    2    2    2    4    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    4    2    2    2    2    2    2    2    2
    2    4    4    2    2    2    2    2    2    2    2    2    4    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    4    2    2    2    2    2    2    2
    2    2    4    4    2    2    2    2    2    2    2    2    2    4    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    4    2    2    2    2    2    2
    2    2    2    4    4    2    2    2    2    2    2    2    2    2    4
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
